Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0065983702120464,-0.0257427295708328,0.336373566912517,0,0,0,2.13775890794895,0.0447028692836465,-2.94763553843355E-07,2.53128621951429E-05,0.0447043656015194,-8.94085734844152E-06,0.00543037915506856,0,0,0,0,0,0,package://UET_discription/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://UET_discription/meshes/base_link.STL,,B-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-8.67361737988404E-19,-0.0718597871210987,0.0268557087493879,0,0,0,0.979766055196368,0.00747669548599809,-1.22078307926861E-19,-9.57416633403933E-21,0.00122674898370894,-3.56275974428907E-06,0.00814613143305283,0,0,0,0,0,0,package://UET_discription/meshes/link_1.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://UET_discription/meshes/link_1.STL,,C1-1,Origin_joint_1,Axis_joint_1,joint_1,prismatic,0.0066366,-0.563,-0.025756,1.5708,0,0,base_link,0,0,1,0,0,0,0.25,,,,,,,,
link_2,2.77555756156289E-17,-0.111115906260767,0.0149039187770865,0,0,0,0.735688332874957,0.00703986564925121,1.30104260698261E-18,-3.67929936463587E-20,0.000681755118576011,-9.81408755090606E-07,0.00758188394305661,0,0,0,0,0,0,package://UET_discription/meshes/link_2.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://UET_discription/meshes/link_2.STL,,C2-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,-0.20072,0.012,0,0,0.99553,link_1,0,0,1,,,,,,,,,,,,
link_3,2.77555756156289E-17,-0.0858630761090732,0.015,0,0,0,0.46058799788846,0.00330258197825701,2.15201552356455E-19,-1.54365406658549E-20,0.000523672756561597,-1.19153988457126E-19,0.00357603273485006,0,0,0,0,0,0,package://UET_discription/meshes/link_3.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://UET_discription/meshes/link_3.STL,,C3-3,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,-0.25,0,0,0,-0.99553,link_2,0,0,1,,,,,,,,,,,,
