Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.380382318022096,-0.53352580397799,0.659302446320337,0,0,0,156.162689770185,7.59889681143528,9.24660486503278E-05,-0.000259409545019004,7.59824264740178,0.000102275137498657,10.3617884952824,0,0,0,0,0,0,package://delta4/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta4/meshes/base_link.STL,,headdelta-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upper_arm1,0.114792252146977,0.00182152585989687,0.0495423331065888,0,0,0,0.646884412038515,0.000166776951356191,-0.000187543246495437,-4.0426217558554E-09,0.00675559133337473,6.15021013891994E-11,0.0067770914347623,0,0,0,0,0,0,package://delta4/meshes/upper_arm1.STL,1,1,1,1,0,0,0,0,0,0,package://delta4/meshes/upper_arm1.STL,,delta l1-1,Origin_joint1,Axis_joint1,joint1,revolute,0.332874358144467,-0.683521580995339,0.398756986704061,-1.5707963267949,0,-1.5707963267949,base_link,0,0,1,0,0,0,3.1416,,,,,,,,
lower_arm1,-0.098913125172137,-0.391384004670733,-0.00480012057539481,0,0,0,0.25492151605556,0.0159698844877236,-0.00227485545584984,-6.18758519151442E-05,0.000343748472533534,-0.000441355901846076,0.0162836493394165,0,0,0,0,0,0,package://delta4/meshes/lower_arm1.STL,1,1,1,1,0,0,0,0,0,0,package://delta4/meshes/lower_arm1.STL,,deltal2-1;deltal2-2,Origin_joint_lower1,Axis_joint_lower1,joint_lower1,revolute,0.27257,0.024629,0.0052966,-0.032509,1.1708,-2.6733,upper_arm1,0.55852,0,0.82949,0,0,0,0,,,,,,,,
upper_arm2,0.114792221305799,-0.00182152765219984,0.184356660884915,0,0,0,0.646884127953808,0.000166777031838413,0.000187543435284815,4.36611669824634E-09,0.00675559025398929,7.9122624373055E-11,0.00677709036650219,0,0,0,0,0,0,package://delta4/meshes/upper_arm2.STL,1,1,1,1,0,0,0,0,0,0,package://delta4/meshes/upper_arm2.STL,,delta l1-2,Origin_joint2,Axis_joint2,joint2,revolute,0.417078668164106,-0.297095310806117,0.398756986704061,1.5707963267949,0,0.523598775598305,base_link,0,0,1,0,0,-1.8717,1.2699,,,,,,,,
lower_arm2,-0.148646965929759,-0.390064925843331,0.107247103054607,0,0,0,0.254921516687177,0.0160968178024367,-0.00177809079295449,-0.000221338273392396,0.000451179014465578,-0.0019682386214318,0.0160492855945187,0,0,0,0,0,0,package://delta4/meshes/lower_arm2.STL,1,1,1,1,0,0,0,0,0,0,package://delta4/meshes/lower_arm2.STL,,deltal2-6;deltal2-4,Origin_joint_lower2,Axis_joint_lower2,joint_lower2,revolute,0.16127,0.034687,0.31426,3.1286,0.22775,2.6404,upper_arm2,0.69905,0,-0.71508,0,0,0,0,,,,,,,,
upper_arm3,0.109230135193745,-0.0353460727333918,-0.0251673203699467,0,0,0,0.646884044729839,0.000836411654860553,0.00199971478863697,3.13346079855795E-09,0.00608595348110964,-9.23002274844755E-10,0.00677708858032651,0,0,0,0,0,0,package://delta4/meshes/upper_arm3.STL,1,1,1,1,0,0,0,0,0,0,package://delta4/meshes/upper_arm3.STL,,delta l1-3,Origin_joint3,Axis_joint3,joint3,revolute,0.2620330475768,-0.438494743532825,0.398756986704061,1.5707963267949,0,2.6179938779915,base_link,0,0,1,0,0,-2.312,0.82957,,,,,,,,
lower_arm3,-0.00997569485788841,-0.363772513608709,-0.0504792416861639,0,0,0,0.254921516971954,0.0160363031075885,-0.00203145838119185,-0.000164159994613957,0.000371789693262562,-0.00129683014757462,0.0161891896620351,0,0,0,0,0,0,package://delta4/meshes/lower_arm3.STL,1,1,1,1,0,0,0,0,0,0,package://delta4/meshes/lower_arm3.STL,,deltal2-3;deltal2-5,Origin_joint_lower3,Axis_joint_lower3,joint_lower3,revolute,0.23048,-0.12561,0.015497,0.015923,0.65183,-0.48859,upper_arm3,0,1,0,0,0,0,0,,,,,,,,
target,-0.104557839033449,-0.0130744248454435,-0.0603664962444304,0,0,0,0.207397114286246,0.000172813626526846,-5.05146300111733E-06,1.41296031566026E-07,0.00027682777437766,-2.9164642559148E-06,0.000172650431702604,0,0,0,0,0,0,package://delta4/meshes/target.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://delta4/meshes/target.STL,,deltahinge-1,Origin_joint_targe,,joint_targer,continuous,0.38037,-0.53352,-0.32514,1.5708,0,-3.1416,base_link,0,0,0,,,,,,,,,,,,
