Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0065983702120464,-0.336373566912517,-0.0257427295708327,0,0,0,2.13775890794895,0.0447028692836465,-2.53128621951432E-05,-2.94763553843353E-07,0.00543037915506856,8.94085734844414E-06,0.0447043656015194,0,0,0,0,0,0,package://Scara_discription/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Scara_discription/meshes/base_link.STL,,B-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-2.42861286636753E-17,-0.0718597871210987,0.0547320439180199,0,0,0,0.979766055196369,0.00747669548599809,-2.02800889103479E-19,-3.30869899520394E-20,0.00122674898370894,-3.5627597442891E-06,0.00814613143305283,0,0,0,0,0,0,package://Scara_discription/meshes/link_1.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://Scara_discription/meshes/link_1.STL,,C1-1,Origin_joint_1,Axis_joint_1,joint_1,prismatic,0.0066366,-0.42337,-0.025756,1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link_2,0.041907554552202,-0.102910162256241,0.0427802539457185,0,0,0,0.735688332874957,0.00613546628974795,0.00222088560941884,3.70139994587777E-07,0.00158615447807927,-9.08933181799181E-07,0.00758188394305661,0,0,0,0,0,0,package://Scara_discription/meshes/link_2.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://Scara_discription/meshes/link_2.STL,,C2-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,-0.20072,0.012,0,0,-1.1868,link_1,0,0,1,,,,,,,,,,,,
link_3,-0.078650900709832,-0.0355999548034516,0.042876335168632,0,0,0,0.45430481258128,0.00178603962041251,0.00136247155952827,4.2462506760415E-20,0.00198152326365703,-6.85073379243118E-20,0.00352875533740904,0,0,0,0,0,0,package://Scara_discription/meshes/link_3.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://Scara_discription/meshes/link_3.STL,,C3-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,-0.25,0,0,0,1.9202,link_2,0,0,1,,,,,,,,,,,,
