Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.155089529965973,0.0891497928154382,0.106548243989106,0,0,0,27.154380119055,0.128305251803877,-0.000131818581333415,-1.11496294415566E-05,0.119231744921295,0.000277151030321705,0.0962057704956619,0,0,0,0,0,0,package://Scara_arm/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Scara_arm/meshes/base_link.STL,,upldPart1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,3.61344626442772E-09,0.0617858079224725,0.154911314006641,0,0,0,40.189608825325,0.508152286237802,-1.65231041869551E-09,8.13995298552458E-09,0.50974601318392,-0.0334168968729477,0.129748200635417,0,0,0,0,0,0,package://Scara_arm/meshes/link_1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Scara_arm/meshes/link_1.STL,,upldPart2-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0.15509,-0.10565,0.14236,1.5708,0,0.017698,base_link,0,1,0,,,,,,,,,,,,
link_2,-1.5904162709024E-08,0.124126238323676,0.203728536970179,0,0,0,118.9449004533,2.76175954594278,8.74027971672735E-06,-3.43471825994812E-07,2.3196658141887,0.172831526487803,0.863252302400428,0,0,0,0,0,0,package://Scara_arm/meshes/link_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://Scara_arm/meshes/link_2.STL,,upldPart3-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,0.094021,0.25,3.1416,-1.4931,3.1416,link_1,0,1,0,,,,,,,,,,,,
link_3,-8.14081082545215E-08,-0.0693656847544451,3.0799865102793E-07,0,0,0,9.61637412998313,0.238809380855472,-3.17901146001321E-06,-3.22956203530067E-07,0.00412085680749192,-1.6592777272209E-05,0.238808891784409,0,0,0,0,0,0,package://Scara_arm/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Scara_arm/meshes/link_3.STL,,upldPart5 scara-1;upldPart4-1,Origin_joint_3,Axis_joint_3,joint_3,prismatic,0,0,0.40562,0,-0.32398,3.1416,link_2,0,1,0,0,0,0,0,,,,,,,,
