Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.0927323858247,-0.686700374911266,0.878210293558317,0,0,0,49.4805903270839,11.5209337707897,0.0041078911519814,0.0178710713508414,11.328909472299,-0.0818380164177232,0.667865148013673,0,0,0,0,0,0,package://arm_discrip/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_discrip/meshes/base_link.STL,,Link 1 -1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.607427868764121,0.646438966184046,-0.0293617820424993,0,0,0,9.14159265358979,0.0540508039409069,0.00535901115247588,-0.00205278300100914,0.0854151878954083,0.000338250493949396,0.0864441362382773,0,0,0,0,0,0,package://arm_discrip/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_discrip/meshes/link1.STL,,link 5-1,Origin_joint1,Axis_joint1,joint1,prismatic,0.23491,-0.71189,0.25792,1.5708,0,0,base_link,0,1,0,0,0,-0.66628,0.48372,,,,,,,,
link2,0.29643288757117,0.63879254841078,-0.0696448400933979,0,0,0,38.0899693899575,0.44790507071409,0.0181676414929884,-0.255030208541011,2.21115735519494,0.00304081294152312,1.92892285941829,0,0,0,0,0,0,package://arm_discrip/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_discrip/meshes/link2.STL,,link 3-2,Origin_joint2,Axis_joint2,joint2,continuous,0,0.15,0,0,0.011092,0,link1,0,1,0,,,,,,,,,,,,
link3,0.853960224385902,0.638338758777492,-0.230514716711854,0,0,0,22.319689898686,0.233366926836783,-0.00465464633211548,0.317798644596256,1.1262466603104,0.00170687238108528,0.983467137001436,0,0,0,0,0,0,package://arm_discrip/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_discrip/meshes/link3.STL,,link 4-2,Origin_joint3,Axis_joint3,joint3,continuous,-0.5,0.15,0,0,-0.022487,0,link2,0,1,0,,,,,,,,,,,,
link_gripper,1.72979438999119,0.652501758988008,-0.297338194058801,0,0,0,4.4908738521234,0.0202967545713154,-0.000199226938271994,-3.39406175284602E-05,0.0287483587037318,-0.000418979949292022,0.0202415154053278,0,0,0,0,0,0,package://arm_discrip/meshes/link_gripper.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://arm_discrip/meshes/link_gripper.STL,,link 6-3,Origin_joint_gripper,Axis_joint_gripper,joint_gripper,continuous,-0.6,0.15000000000001,0,0,0.0113954785402925,0,link3,0,1,0,,,,,,,,,,,,
