Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0065984,-0.33637,-0.025743,0,0,0,2.1378,0.044703,-2.5313E-05,-2.9476E-07,0.0054304,8.9409E-06,0.044704,0,0,0,0,0,0,package://Scara_Discription/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Scara_Discription/meshes/base_link.STL,,B-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-1.4745E-17,-0.07186,-0.22041,0,0,0,0.97977,0.0074767,5.9486E-21,-4.6092E-20,0.0012267,-3.5628E-06,0.0081461,0,0,0,0,0,0,package://Scara_Discription/meshes/link_1.STL,0.50196,0.50196,1,1,0,0,0,0,0,0,package://Scara_Discription/meshes/link_1.STL,,C1-1,Origin_joint_1,Axis_joint_1,joint_1,prismatic,0.0066366,-0.563,-0.025756,1.5708,0,0,base_link,0,0,1,0,0,0,0.25,,,,,,,,
link_2,0,-0.11112,-0.23236,0,0,0,0.73569,0.0070399,3.7947E-19,-6.5592E-20,0.00068176,-9.8141E-07,0.0075819,0,0,0,0,0,0,package://Scara_Discription/meshes/link_2.STL,0.50196,0.50196,1,1,0,0,0,0,0,0,package://Scara_Discription/meshes/link_2.STL,,C2-1,Origin_joint_2,Axis_joint_2,joint_2,revolute,0,-0.20072,0.012,0,0,0.99553,link_1,0,0,1,0,0,0,0,,,,,,,,
link_3,0,-0.085863,-0.23227,0,0,0,0.46059,0.0033026,9.0439E-19,-5.5887E-21,0.00052367,2.2513E-19,0.003576,0,0,0,0,0,0,package://Scara_Discription/meshes/link_3.STL,0.50196,0.50196,1,1,0,0,0,0,0,0,package://Scara_Discription/meshes/link_3.STL,,C3-3,Origin_joint_3,Axis_joint_3,joint_3,revolute,0,-0.25,0,0,0,-0.99553,link_2,0,0,1,0,0,0,0,,,,,,,,
