Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0065983702120464,-0.336373566912517,-0.0257427295708327,0,0,0,2.13775890794895,0.0447028692836465,-2.53128621951427E-05,-2.94763553843357E-07,0.00543037915506856,8.94085734844386E-06,0.0447043656015194,0,0,0,0,0,0,package://Ca_chua_discription/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Ca_chua_discription/meshes/base_link.STL,,B-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,8.67361737988404E-19,-0.0718597871210987,-0.0194578791046949,0,0,0,0.979766055196368,0.00747669548599809,-1.15725353931764E-19,-9.64382863124498E-21,0.00122674898370894,-3.56275974428906E-06,0.00814613143305283,0,0,0,0,0,0,package://Ca_chua_discription/meshes/link_1.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://Ca_chua_discription/meshes/link_1.STL,,C1-1,Origin_joint_1,Axis_joint_1,joint_1,prismatic,0.0066366,-0.35931,-0.025756,1.5708,0,0,base_link,0,0,1,0,0,-0.25,0,,,,,,,,
link_2,-0.0548425804399554,-0.0966386878782949,-0.0314096690769962,0,0,0,0.735688332874956,0.00549100848152213,-0.00272925750756946,-4.84385993030019E-07,0.00223061228630509,-8.53541653538469E-07,0.0075818839430566,0,0,0,0,0,0,package://Ca_chua_discription/meshes/link_2.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://Ca_chua_discription/meshes/link_2.STL,,C2-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,-0.20072,0.012,0,0,-0.59257,link_1,0,0,1,,,,,,,,,,,,
link_3,-0.0131002977841246,-0.116411787180883,-0.0313135878540829,0,0,0,0.454304812581273,0.00085773207578438,0.000901723301370522,-1.39997464163509E-18,0.00290983080828492,4.9673566200655E-19,0.00352875533740883,0,0,0,0,0,0,package://Ca_chua_discription/meshes/link_3.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://Ca_chua_discription/meshes/link_3.STL,,C3-1,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,-0.25,0,0,0,-0.994433274533891,link_2,0,0,1,,,,,,,,,,,,
