Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.380382318022096,-0.533525803977991,0.659302446320337,0,0,0,156.162689770185,7.59889681143528,9.24660486503447E-05,-0.000259409545019094,7.59824264740178,0.000102275137498766,10.3617884952824,0,0,0,0,0,0,package://delta5/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta5/meshes/base_link.STL,,headdelta-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upper_arm1,-0.0772669415657757,0.0849140062560085,0.0495423298621972,0,0,0,0.646884056050241,0.00368901373566654,0.00329186526144872,2.44706619569249E-09,0.00323335222760884,-2.88122467785978E-09,0.00677708927245829,0,0,0,0,0,0,package://delta5/meshes/upper_arm1.STL,1,1,1,1,0,0,0,0,0,0,package://delta5/meshes/upper_arm1.STL,,delta l1-1,Origin_joint1,Axis_joint1,joint1,revolute,0.332874358144467,-0.683521580995339,0.398756986704061,-1.5707963267949,0,-1.5707963267949,base_link,0,0,1,0,0,0,3.1416,,,,,,,,
lower_arm1,0.305243815466317,-0.568653741162233,0.0533304761799087,0,0,0,0.254921518427184,0.0118514019298931,0.0040954899077567,0.00596521085510995,0.0124866840659664,-0.00553014190988848,0.00825919672641359,0,0,0,0,0,0,package://delta5/meshes/lower_arm1.STL,1,1,1,1,0,0,0,0,0,0,package://delta5/meshes/lower_arm1.STL,,deltal2-1;deltal2-2,Origin_joint_lower1,Axis_joint_lower1,joint_lower1,revolute,0.272569839075917,0.0246294631227099,0.00529664007075714,-0.0325087905561728,1.17076498742548,-2.67328944867135,upper_arm1,0.558523722970762,0,0.82948854776837,0,0,0,0,,,,,,,,
upper_arm2,0.00746270098089197,-0.114563886294091,0.184356676189367,0,0,0,0.646884330226788,0.00674276377529085,0.00034571620880866,3.26137238092564E-10,0.000179603424889719,-3.58039165616929E-09,0.00677709049640156,0,0,0,0,0,0,package://delta5/meshes/upper_arm2.STL,1,1,1,1,0,0,0,0,0,0,package://delta5/meshes/upper_arm2.STL,,delta l1-2,Origin_joint2,Axis_joint2,joint2,revolute,0.417078668164106,-0.297095310806117,0.398756986704061,1.5707963267949,0,0.523598775598305,base_link,0,0,1,0,0,-1.8717,1.2699,,,,,,,,
lower_arm2,0.224344371336868,-0.686207860333844,0.223349943784725,0,0,0,0.254921515362049,0.0120825883882364,0.00679387988965409,-0.00214684877842503,0.0053127502152272,0.00345662979857584,0.0152019435726505,0,0,0,0,0,0,package://delta5/meshes/lower_arm2.STL,1,1,1,1,0,0,0,0,0,0,package://delta5/meshes/lower_arm2.STL,,deltal2-6;deltal2-4,Origin_joint_lower2,Axis_joint_lower2,joint_lower2,revolute,0.161268370049302,0.0346872050122739,0.314264003482573,3.12859851500547,0.227751807455416,2.64041159012637,upper_arm2,0.699045374184477,0,-0.71507731388381,0,0,0,0,,,,,,,,
upper_arm3,0.114792190956305,-0.00182152531048918,-0.0251673198673822,0,0,0,0.646883970811699,0.000166776836705839,0.000187543268799434,3.21501575890697E-09,0.00675558779094134,3.68581737254154E-11,0.00677708810261763,0,0,0,0,0,0,package://delta5/meshes/upper_arm3.STL,1,1,1,1,0,0,0,0,0,0,package://delta5/meshes/upper_arm3.STL,,delta l1-3,Origin_joint3,Axis_joint3,joint3,revolute,0.2620330475768,-0.438494743532825,0.398756986704061,1.5707963267949,0,2.6179938779915,base_link,0,0,1,0,0,-2.312,0.82957,,,,,,,,
lower_arm3,0.289469393043794,-0.183766775489447,-0.0138263076600468,0,0,0,0.254921518191912,0.00895130993669267,0.00808825967037824,-0.00049418180273105,0.00738467542547735,0.000547291804756227,0.0162612973182856,0,0,0,0,0,0,package://delta5/meshes/lower_arm3.STL,1,1,1,1,0,0,0,0,0,0,package://delta5/meshes/lower_arm3.STL,,deltal2-3;deltal2-5,Origin_joint_lower3,Axis_joint_lower3,joint_lower3,revolute,0.230483769451967,-0.125613066735207,0.0154970866079977,0.0159234215285503,0.651825739186271,-0.488586704778935,upper_arm3,0,1,0,0,0,0,0,,,,,,,,
target,0.594229673345362,0.0159957692466067,-0.00777458017718657,0,0,0,0.207397060095326,0.000224721124917696,5.08128531289731E-05,1.23510379127989E-05,0.000222076634528566,1.20338360800867E-05,0.000175493857687923,0,0,0,0,0,0,package://delta5/meshes/target.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://delta5/meshes/target.STL,,deltahinge-1,Origin_joint_targe,Axis_joint_targer,joint_targer,fixed,0.380374358144462,-0.533521580995337,-0.325140520136826,1.5707963267949,0,-3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
