Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0065983702120464,-0.336373566912517,-0.0257427295708327,0,0,0,2.13775890794895,0.0447028692836465,-2.53128621951427E-05,-2.94763553843353E-07,0.00543037915506856,8.94085734844418E-06,0.0447043656015194,0,0,0,0,0,0,package://SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://SLDASM/meshes/base_link.STL,,B-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,-1.38777878078145E-17,-0.0718597871210987,-0.220409660211877,0,0,0,0.979766055196368,0.0074766954859981,6.78328921579028E-21,-4.6096174513509E-20,0.00122674898370894,-3.56275974428907E-06,0.00814613143305283,0,0,0,0,0,0,package://SLDASM/meshes/link_1.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://SLDASM/meshes/link_1.STL,,C1-1,Origin_joint_1,Axis_joint_1,joint_1,prismatic,0.0066366,-0.563,-0.025756,1.5708,0,0,base_link,0,0,1,0,0,0,0.03,,,,,,,,
link_2,0,-0.111115906260767,-0.232361450184178,0,0,0,0.735688332874956,0.0070398656492512,7.58941520739853E-19,-5.79158777685128E-20,0.00068175511857601,-9.81408755089889E-07,0.0075818839430566,0,0,0,0,0,0,package://SLDASM/meshes/link_2.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://SLDASM/meshes/link_2.STL,,C2-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,-0.200720396700335,0.012,0,0,0.995527576712073,link_1,0,0,1,,,,,,,,,,,,
link_3,0,-0.0858630761090733,-0.232265368961265,0,0,0,0.460587997888459,0.00330258197825701,9.31934798485548E-19,-1.36543554243177E-20,0.000523672756561596,2.17589235236408E-19,0.00357603273485007,0,0,0,0,0,0,package://SLDASM/meshes/link_3.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://SLDASM/meshes/link_3.STL,,C3-3,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,-0.25,0,0,0,-0.995527576712073,link_2,0,0,1,,,,,,,,,,,,
