Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.380382318022096,-0.533525803977991,0.659302446320337,0,0,0,156.162689770185,7.59889681143528,9.24660486503827E-05,-0.000259409545019092,7.59824264740178,0.00010227513749873,10.3617884952824,0,0,0,0,0,0,package://delta2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta2/meshes/base_link.STL,,headdelta-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upper_arm1,0.114792252146982,0.00182152585989759,0.0495423331065887,0,0,0,0.646884412038514,0.000166776951356192,-0.000187543246495448,-4.04262175373021E-09,0.00675559133337472,6.15021017053937E-11,0.0067770914347623,0,0,0,0,0,0,package://delta2/meshes/upper_arm1.STL,1,1,1,1,0,0,0,0,0,0,package://delta2/meshes/upper_arm1.STL,,delta l1-1,Origin_joint1,Axis_joint1,joint1,revolute,0.33287,-0.68352,0.39876,-1.5708,0,-1.5708,base_link,0,0,1,0,0,0,3.1416,,,,,,,,
lower_arm1,-0.0385647214747921,-0.395441709949408,0.00405635944419508,0,0,0,0.25492151618481,0.0162920368473119,0.000189885453090978,1.85041042902049E-06,9.64407573212208E-06,-8.02477692587144E-05,0.0162956013994657,0,0,0,0,0,0,package://delta2/meshes/lower_arm1.STL,1,1,1,1,0,0,0,0,0,0,package://delta2/meshes/lower_arm1.STL,,deltal2-1;deltal2-2,Origin_joint_lower1,Axis_joint_lower1,joint_lower1,fixed,0.272569839075917,0.0246294631227099,0.00529664007075714,-0.0325087905561728,1.17076498742548,-2.67328944867135,upper_arm1,-0.80268650488072,0.389300348101268,-0.451816184250414,,,,,,,,,,,,
upper_arm2,0.114792221305799,-0.00182152765219501,0.184356660884912,0,0,0,0.646884127953808,0.000166777031838409,0.000187543435284771,4.3661167258054E-09,0.00675559025398929,7.91226234243781E-11,0.00677709036650219,0,0,0,0,0,0,package://delta2/meshes/upper_arm2.STL,1,1,1,1,0,0,0,0,0,0,package://delta2/meshes/upper_arm2.STL,,delta l1-2,Origin_joint2,Axis_joint2,joint2,revolute,0.41708,-0.2971,0.39876,1.5708,0,0.5236,base_link,0,0,1,0,0,-1.8717,1.2699,,,,,,,,
lower_arm2,-0.106055427510473,-0.39544439868225,0.150769042438625,0,0,0,0.254921517015059,0.0162961618156893,-4.65485707678165E-05,-1.15454674235013E-06,9.64407858575136E-06,-0.000200822067603626,0.0162914765757807,0,0,0,0,0,0,package://delta2/meshes/lower_arm2.STL,1,1,1,1,0,0,0,0,0,0,package://delta2/meshes/lower_arm2.STL,,deltal2-6;deltal2-4,Origin_joint_lower2,Axis_joint_lower2,joint_lower2,fixed,0.161268370049302,0.0346872050122739,0.314264003482573,3.12859851500547,0.227751807455416,2.64041159012637,upper_arm2,-0.761789553143763,0.456719545529523,0.459438715665464,,,,,,,,,,,,
upper_arm3,0.114792190956304,-0.00182152531049112,-0.0251673198673815,0,0,0,0.6468839708117,0.00016677683670584,0.000187543268799455,3.21501573298099E-09,0.00675558779094135,3.68581743894892E-11,0.00677708810261763,0,0,0,0,0,0,package://delta2/meshes/upper_arm3.STL,1,1,1,1,0,0,0,0,0,0,package://delta2/meshes/upper_arm3.STL,,delta l1-3,Origin_joint3,Axis_joint3,joint3,revolute,0.26203,-0.43849,0.39876,1.5708,0,2.618,base_link,0,0,1,0,0,-2.312,0.82957,,,,,,,,
lower_arm3,0.0213350934780641,-0.286588133575785,-0.0277887227959333,0,0,0,0.254921517264014,0.0162945570542806,-0.000125065415921308,2.55139020084727E-06,9.64403175115192E-06,0.000163872067994975,0.0162930814287885,0,0,0,0,0,0,package://delta2/meshes/lower_arm3.STL,1,1,1,1,0,0,0,0,0,0,package://delta2/meshes/lower_arm3.STL,,deltal2-3;deltal2-5,Origin_joint_lower3,Axis_joint_lower3,joint_lower3,fixed,0.230483769451967,-0.125613066735207,0.0154970866079977,0.0159234215285503,0.651825739186271,-0.488586704778935,upper_arm3,-0.37314531236443,0.87835127448214,-0.298766822917223,,,,,,,,,,,,
target,-2.19269047363468E-14,0.00734510079555506,2.69657185469896E-10,0,0,0,0.20739711244002,0.000172568881403432,-4.00305696308804E-19,2.99668969929268E-19,0.000277154102529208,3.89808767329123E-13,0.000172568841088829,0,0,0,0,0,0,package://delta2/meshes/target.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://delta2/meshes/target.STL,,deltahinge-1,Origin_joint_targe,Axis_joint_targer,joint_targer,fixed,0.380374358144462,-0.533521580995337,-0.325140520136826,1.5707963267949,0,-3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
