Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.380382318022096,-0.53352580397799,0.659302446320337,0,0,0,156.162689770185,7.59889681143528,9.24660486503926E-05,-0.000259409545019047,7.59824264740178,0.000102275137498681,10.3617884952824,0,0,0,0,0,0,package://delta3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://delta3/meshes/base_link.STL,,headdelta-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
upper_arm1,0.114792252146982,0.00182152585989759,0.0495423331065887,0,0,0,0.646884412038514,0.000166776951356192,-0.000187543246495448,-4.04262175377727E-09,0.00675559133337472,6.15021017047886E-11,0.0067770914347623,0,0,0,0,0,0,package://delta3/meshes/upper_arm1.STL,1,1,1,1,0,0,0,0,0,0,package://delta3/meshes/upper_arm1.STL,,delta l1-1,Origin_joint1,Axis_joint1,joint1,revolute,0.332874358144467,-0.683521580995339,0.398756986704061,-1.5707963267949,0,-1.5707963267949,base_link,0,0,1,0,0,0,3.1416,,,,,,,,
lower_arm1,-0.038564721474792,-0.395441709949408,0.00405635944419502,0,0,0,0.25492151618481,0.0162920368473119,0.000189885453090978,1.85041042902092E-06,9.64407573212053E-06,-8.02477692587143E-05,0.0162956013994657,0,0,0,0,0,0,package://delta3/meshes/lower_arm1.STL,1,1,1,1,0,0,0,0,0,0,package://delta3/meshes/lower_arm1.STL,,deltal2-1;deltal2-2,Origin_joint_lower1,Axis_joint_lower1,joint_lower1,continuous,0.272569839075917,0.0246294631227099,0.00529664007075714,-0.0325087905561728,1.17076498742548,-2.67328944867135,upper_arm1,0.558523722970762,0,0.82948854776837,,,,,,,,,,,,
upper_arm2,0.114792221305799,-0.00182152765219495,0.184356660884912,0,0,0,0.646884127953808,0.000166777031838409,0.000187543435284771,4.36611672621198E-09,0.00675559025398928,7.91226234785882E-11,0.00677709036650219,0,0,0,0,0,0,package://delta3/meshes/upper_arm2.STL,1,1,1,1,0,0,0,0,0,0,package://delta3/meshes/upper_arm2.STL,,delta l1-2,Origin_joint2,Axis_joint2,joint2,revolute,0.417078668164106,-0.297095310806117,0.398756986704061,1.5707963267949,0,0.523598775598305,base_link,0,0,1,0,0,-1.8717,1.2699,,,,,,,,
lower_arm2,-0.106055427510473,-0.39544439868225,0.150769042438625,0,0,0,0.254921517015059,0.0162961618156893,-4.65485707678144E-05,-1.154546742351E-06,9.64407858575034E-06,-0.000200822067603626,0.0162914765757807,0,0,0,0,0,0,package://delta3/meshes/lower_arm2.STL,1,1,1,1,0,0,0,0,0,0,package://delta3/meshes/lower_arm2.STL,,deltal2-6;deltal2-4,Origin_joint_lower2,Axis_joint_lower2,joint_lower2,continuous,0.161268370049302,0.0346872050122739,0.314264003482573,3.12859851500547,0.227751807455416,2.64041159012637,upper_arm2,0.699045374184477,0,-0.71507731388381,,,,,,,,,,,,
upper_arm3,0.114792190956304,-0.00182152531049123,-0.0251673198673814,0,0,0,0.6468839708117,0.00016677683670584,0.000187543268799455,3.21501573317072E-09,0.00675558779094135,3.68581743488317E-11,0.00677708810261763,0,0,0,0,0,0,package://delta3/meshes/upper_arm3.STL,1,1,1,1,0,0,0,0,0,0,package://delta3/meshes/upper_arm3.STL,,delta l1-3,Origin_joint3,Axis_joint3,joint3,revolute,0.2620330475768,-0.438494743532825,0.398756986704061,1.5707963267949,0,2.6179938779915,base_link,0,0,1,0,0,-2.312,0.82957,,,,,,,,
lower_arm3,0.0213350934780641,-0.286588133575785,-0.0277887227959333,0,0,0,0.254921517264014,0.0162945570542806,-0.000125065415921308,2.55139020084814E-06,9.64403175115156E-06,0.000163872067994975,0.0162930814287885,0,0,0,0,0,0,package://delta3/meshes/lower_arm3.STL,1,1,1,1,0,0,0,0,0,0,package://delta3/meshes/lower_arm3.STL,,deltal2-3;deltal2-5,Origin_joint_lower3,Axis_joint_lower3,joint_lower3,continuous,0.230483769451967,-0.125613066735207,0.0154970866079977,0.0159234215285503,0.651825739186271,-0.488586704778935,upper_arm3,0,1,0,,,,,,,,,,,,
target,-1.98729921407903E-14,0.00734510079555417,2.69656408313779E-10,0,0,0,0.20739711244002,0.000172568881403432,-4.09940800786399E-19,5.33395125137355E-19,0.000277154102529208,3.8980875644572E-13,0.000172568841088829,0,0,0,0,0,0,package://delta3/meshes/target.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://delta3/meshes/target.STL,,deltahinge-1,Origin_joint_targe,Axis_joint_targer,joint_targer,fixed,0.380374358144462,-0.533521580995337,-0.325140520136826,1.5707963267949,0,-3.14159265358979,base_link,0,0,0,,,,,,,,,,,,
